Date,Symbol,Series,Prev Close,Open,High,Low,Last
1/3/2000,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7
1/4/2000,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85
1/5/2000,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75
1/6/2000,RELIANCE,EQ,282.5,289,300.7,289,293.5
1/7/2000,RELIANCE,EQ,294.35,295,317.9,293,314.5
1/10/2000,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65
1/11/2000,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5
1/12/2000,RELIANCE,EQ,288.5,289,305,282.15,304.7
1/13/2000,RELIANCE,EQ,301.7,306,316.4,304.1,309.75
1/14/2000,RELIANCE,EQ,311.85,309.5,321.65,309.5,317
1/17/2000,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5
1/18/2000,RELIANCE,EQ,308.75,309,318.95,305.55,318.25
1/19/2000,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8
1/20/2000,RELIANCE,EQ,319.6,320,324.9,310.55,311.5
1/21/2000,RELIANCE,EQ,312.85,312.7,328.4,312,327.5
1/24/2000,RELIANCE,EQ,326.35,325.5,331.85,322,326.5
1/25/2000,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05
1/27/2000,RELIANCE,EQ,319.95,329,336.8,322.7,334.5
1/28/2000,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25
1/31/2000,RELIANCE,EQ,338.35,334.45,336,326.55,327.05
2/1/2000,RELIANCE,EQ,328.15,330.8,337.45,328,336.05
2/2/2000,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1
2/3/2000,RELIANCE,EQ,340.15,342,343.5,336.4,342.5
2/4/2000,RELIANCE,EQ,341.65,344,347.35,341.7,342.75
2/7/2000,RELIANCE,EQ,344.15,341.1,349.45,338.05,343
2/8/2000,RELIANCE,EQ,343.6,345.5,346.9,341.05,342.1
2/9/2000,RELIANCE,EQ,342.4,349,354.65,344.8,346.7
2/10/2000,RELIANCE,EQ,350.4,348.8,363.8,344.9,363
2/11/2000,RELIANCE,EQ,355.75,364,374,360.05,361.4
2/14/2000,RELIANCE,EQ,363.3,359,360.9,350,350.8
2/15/2000,RELIANCE,EQ,352.1,352,354.4,342.05,343.5
2/16/2000,RELIANCE,EQ,344.35,350,353.8,343.1,346.75
2/17/2000,RELIANCE,EQ,348.15,347.7,356.8,347.5,355.4
2/18/2000,RELIANCE,EQ,354.55,356.9,357.95,348,350.3
2/21/2000,RELIANCE,EQ,349.45,348.4,352,341.65,344
2/22/2000,RELIANCE,EQ,345.65,346,347,332.5,335.25
2/23/2000,RELIANCE,EQ,334.35,344.7,344.7,327.3,330
2/24/2000,RELIANCE,EQ,329.8,332.9,340.7,329.3,339
2/25/2000,RELIANCE,EQ,336.75,341.4,342.9,326.1,326.9
2/28/2000,RELIANCE,EQ,328.6,324.85,337.25,310,337.25
2/29/2000,RELIANCE,EQ,333.1,337.9,342.85,306.45,309.5
3/1/2000,RELIANCE,EQ,310.85,315,329.85,299,317.25
3/2/2000,RELIANCE,EQ,316.8,318.85,322,291.5,291.5
3/3/2000,RELIANCE,EQ,291.75,286.1,286.1,268.45,268.45
3/6/2000,RELIANCE,EQ,268.45,268.45,283.85,247,254.7
3/7/2000,RELIANCE,EQ,253.95,257,259,240,244.5
3/8/2000,RELIANCE,EQ,242.3,246.9,250.5,230,234.3
3/9/2000,RELIANCE,EQ,232.95,235.9,242.4,224.15,230.9
3/10/2000,RELIANCE,EQ,231.3,234,234.8,214.6,218.4
3/13/2000,RELIANCE,EQ,216.85,219.9,229.5,200.3,203.3
3/14/2000,RELIANCE,EQ,203.2,205.5,219.5,197.15,219
3/15/2000,RELIANCE,EQ,219.2,224,236.75,216,236.75
3/16/2000,RELIANCE,EQ,236.75,239.5,247.8,230.1,235.5
3/21/2000,RELIANCE,EQ,234.85,238.8,242.8,227.6,242.5
3/22/2000,RELIANCE,EQ,237.9,245,248.5,241.2,243
3/23/2000,RELIANCE,EQ,243.4,245.25,245.8,238.55,239.95
3/24/2000,RELIANCE,EQ,240.95,239.2,242.95,237.65,242.9
3/27/2000,RELIANCE,EQ,240.6,243,259.85,243,259.85
3/28/2000,RELIANCE,EQ,259.85,263.1,280.65,263.1,280.65
3/29/2000,RELIANCE,EQ,280.65,284.8,289.9,269,271.25
3/30/2000,RELIANCE,EQ,271.3,269,293,258.3,293
3/31/2000,RELIANCE,EQ,293,297,316.45,280.1,316.45
4/3/2000,RELIANCE,EQ,316.45,327.65,333.7,318.1,328
4/4/2000,RELIANCE,EQ,328.6,326,326,302.35,302.35
4/5/2000,RELIANCE,EQ,302.35,303.4,312,278.25,301
4/6/2000,RELIANCE,EQ,302.25,303,326.45,302.55,326.45
4/7/2000,RELIANCE,EQ,326.15,329.8,352.25,329.8,352.25
4/10/2000,RELIANCE,EQ,352.25,369.9,380,359.5,363.45
